,reviews
466," |  Literally the worst airline with the worst customer service. Booked a flight for April 2020 but it was the peak of COVID pandemic and all travel had to be canceled. I was not given an option of refund, instead the money was put into my Southwest account for use within 1 year. I work in healthcare and it became nearly impossible to travel anywhere for the year. I tried to make a travel plan by December 2020 just to use the existing funds in my Southwest account but had to cancel last moment again due to increasing COVID cases around December 2020. Again the amount was put back into my Southwest account until it expired and now they’re are offering me a small voucher after all my flight money has been taken. I am so disgusted by the way they handled the refunds during the pandemic. I vow to never board Southwest ever again!"
469," |  Spoke with a reservation agent regarding booking a military flight for four round trip tickets on Dec 12 for Dec 24.-Jan 3.. Was told that paris would not need a seat so we proceeded to talk about purchasing three seats and were asked for our card details so it can be placed on file. After giving our details the gentleman made the purchase without any consent of the purchase being made at that moment or anything. My husband had to look at our account to see that money had been taken after asking the gentleman why would he not notify us he then proceeds to say that he never really took our son into account(put him in the system) and now he need to make a separate purchase because he infants does need a seat and that any 2 and up has to pay for a seat, although in a previous conversation he had said 2 and under. Not once did he apologize for charging our card without approval nor for neglecting to tell us our child did need a seat at the time of purchase when being told originally that he didn’t. We are in the holiday season when tickets can be pricey and I feel that we should’ve been given a option as to which airline would accommodate us better instead our money was taken and now we have to week 7-10 business days to get the money back and by then all the airline seats will be sold out or higher due to this inconvenience. I asked to speak with a supervisor and was switched to a department without briefing them of my case and without any notations being place on my account. And the Supervisor didn’t help either it was either get a refund or pay full price for my sons ticket(a seat that he will not sit in) no discount, no taxes dropped for making me have to do two purchases when being asked if 4 tickets needed to be purchased and/or no comped seat for the child. Completely unprofessional experience and I never intend to fly with this company again. There’s no respect for the customers and they don’t believe in satisfying the customers even when the customers are looking for a resolve."
477," |  We flew Southwest for family vacation to Cancun. We went from GR to Chicago and when boarding started they said first come first serve on seats and we were letter C so we're last to board. Some of us got to sit together to Chicago, once we boarded in Chicago to Cancun again first come first serve we were letter C again . My family was strong put through out the whole airplane . My son has a brain injury and didn't have a clue how to fill out the declaration papers. So you people need to start assigning seats. We all ended up in middle seats and were like sardines  .. for the money we paid should of got better service. No one wants to move or offer a seat because they want an empty seat between them. With my experience I doubt I will fly Southwest again. "
504," |  Terrible business model, if you reserve a flight six months in advance then cancel within a week you cannot get a refund, you are instead offered a credit which can be used to purchase another flight through Southwest Airlines, but only within the next 12 months. You are required to pay a higher price for a ticket to get a refund just in case you need to cancel the flight to actually get your money back. "
511," | I purchased my ticket the night before my flight (San Diego to Phoenix). After all the cancellations I felt this was a bad idea, but it’s a 1 hour flight. What could go wrong? Multiple delays. Insane. Southwest wants to keep pocketing money and cancelling flights. Total joke. Will never fly with these clowns again. Thanks for allowing me to be late for my sisters wedding, Southwest. Especially when I could have just made the 5hr drive."
519,  Never ever flying Southwest again. They cancelled our flight last minute and we were told they can’t fly us home until two days later. When we asked for a hotel they said “all of our hotels are booked.” I demanded to speak with the manager who took 30 mins to come talk to us and acted like it was a big deal to get us a hotel. This airline refused to give us a credit to fly home today through another airline. We asked if they could fly us to somewhere near our home and they simply said “we don’t have anything.” Worst experience and ruined our vacation. Not only did we have to call off of work but we had to spend extra money for food and ubers.
539," |  I flew with my 11 year old who is on the spectrum takes ADHD medicine and has anxiety! When a gate attendant allowed us to pre-board, another one, right at the time of entry said we shouldn't be pre-boarding and kind of implied that we are abusing the pre-boarding option! Second time from Seattle to Nashville I bought 3 premium tickets and was among the first 5 to board, then I was told that I am carrying more luggage on myself and should consolidate between my son, my mother, who has shoulder pain! What's the point of paying premium money when you have to take their hassle."
568,"  My family and I bought Southwest tickets to fly to Mexico in December for my 50th birthday. Prior to flying my father contracted COVID and was also diagnosed with dementia. The hotels also put COVID restrictions into place. We called Southwest and cancelled our flights to which we were given ""Travel Funds"". Fast forward we are taking the family and going on a vacation in December, this year. We tried to book the flights using our travel funds and were told we can not due to them expiring in October. We called customer service and explained the situation and were rudely told we have to wait until they expire and then pay a $100/per ticket fee to reinstate them. We understand paying the fee and requested to pay it now to extend the date. We explained we can not wait until October to book the flights as flights are limited and are already nearly sold out. The customer service rep had zero compassion and stated there was nothing she could do that that was the policy. We asked to speak to a supervisor and were told only contact with them was through email. The email response we received only had a first name and stated there was absolutely nothing that could be done to try and resolve the problem. We called customer service again and once again explained the situation. We again said we would gladly pay the fee now and book the flights. The rep sternly responded that they are not able or willing to do anything to assist. That we would have to take our chances and wait until after October (IF they decide to take the fee and extend the funds!) or just lose all the money. They stated they gave 2 year extensions for travel plans changed due to covid, she then sarcastically stated that we did not fall in that time frame. COVID is out of our control, along with the medical problems of my father. We are not asking for a refund of the money or even asking to have a fee waived to extend the funds. I simply want to book a flight flying the same month I was going to previously! No compassion and no attempt at finding a solution!!! I will not fly Southwest again."
580,"  Please save your money and time flying with this Airline. We paid for nonstop flight for 2 ways, then 2 hrs before departure flight we received a text message stated that our flight was delay (we live 1 and a half hour away from the Airport). So they changed our flight from nonstop to transfer for the next day and when we checked the return flight, they also changed it from nonstop to transfer flight. Therefore, we called back to customer relation and customer reservation department on July 15th to talk to one person name Ro and one person name Martin - no one could help us out or gave us any compensation or rebook the straight flight for us. They gave me a really shit show on the phone (also they don’t have the manager or higher position they could transfer me to find the solution lol). I hope the management level can read this review. "
581,"  What happened to Southwest? I’ve been flying with them for 20+ years. They use to be a good airline then we just flew with them. I know COVID was tough on airlines but they were subsidized to stay open by us taxpayers, now that restrictions are lifted they sandbag flights till they can pack them out and if there are a few empty seats there are always stand by. The flight attendants and pilots all seemed unhappy. Every aspect of the experience was like they cut as many corners and saved as much money as they could yet charge extreme prices for tickets. But somehow they just invested a ton of money on all of these new Supermax planes that have safety concerns. Looking for a new airline to fly from now on even though I have a ton of points. I would rather throw them away than fly with them again."
595," |  No Customer Service. Flight was cancelled via text message 2 hours prior to departure. Could not get a Rep on the phone after holding 2 hours. Im on hold again now hold time 2+ hours and counting. I had to spend extra money that I did not have on hotel, food, and transportation with no verbal assistance at ALL. I was told I could email them with hopes of a response time of weeks! Not Days but weeks. This is just not acceptable. NO one that works for this airlines care about its passengers. After they get your money, that's it. Hope you get to your destination. Take your money elsewhere."
610," | Southwest is the welfare of airlines! I will never forget the ridiculous night that I had sitting in Baltimore Airport after being delayed for at least 4 different reasons and even boarded on the plane and driven around the tarmac and then after several hours and different excuses, told to get off the plane because the pilot had timed out and the flight is canceled! I sat alone all night in the airport and it should never have happened! Then they offer to fly me home 2 days later? No money and sleep at the airport? The best part is I have been trying to call them for a week and automated says 1 hour wait on hold, so I waited and they picked up and hung up, not one time but 3 times! I will pay more for one of the more reliable airlines. Check Southwest reviews, all similar accounts."
615," | First, we boarded the plane late due to a maintenance issue. Then, we sat on the tarmac for an hour before the crew announced they couldn’t fix the issue so we’d have to exit the plane, luggage and all. We were told to just wait for an update. The plane didn’t leave until 5 hours after the original departure date. Due to the delay we missed our connecting flight. Southwest booked us for an evening flight, forcing us to stay another 5 hours in another airport terminal. (They wouldn’t put us on an earlier flight.) We are arriving so late that we are missing our last train home and will have to book a hotel. In sum, we were supposed to arrive at our destination at 11.30am, and will now be arriving at 10pm. Next time, I will pay extra money for a more reliable airline, because the 10.5 hours wasted and hotel add up to more than what a pricier ticket would have been."
616," |  To say my last experience with Southwest was a disaster would be an understatement! It all started from day one to the very end. Beyond disappointed! To start, my flight to Long Island was supposed to be Friday at 5.45 am out of San Antonio, TX. I made sure to check in exactly 24 hours prior, as I always have, and got my confirmation and boarding pass. Then, that very same night, the day before I'm supposed to leave, I get an email from Southwest saying my flight has been changed to the following day, more than 24 hours later than my flight, due to a disruption in my itinerary? So, while I'm panicking because I needed to be in Long Island by Friday, not Saturday, I decided I was going to just show up and play dumb! So, I did! Once I arrived there, I had to talk with the customer service team due to receiving an error at the ticketing kiosk (because they changed my flight, of course). I was asked ""Umm...did you change your flight?!"" Yes, yes I did and just decided to show up a day prior! Not! So, I very politely said, ""No, I had not."" They accommodated thank goodness but, I had to fly out an hour later than expected. Okay, whatever, fine. Then comes the following Tuesday. I had this feeling in the pit of my stomach just knowing something bad was going to happen. First off, my flight from Long Island to Orlando got delayed two hours due to ""computers going down and there being nothing they can do"". Once I got on the plane, they then had us sit on the plane for 30-45 minutes because ""the plane is too heavy and they were trying to figure out numbers"". Okay, great. Now I'm starting to panic. Not to mention, while all of these delays are happening, I'm terrified I'm going to miss my other flights. I was originally supposed to be home at approximately 6pm but, due to all of the changes and issues, I got home close to 1am the next day! Another flight told us that ""they didn't have any flight attendants for the flight"" and it, too, got delayed another few hours. Just beyond livid with the way everything was handled! And, not to mention, since I got back to the San Antonio airport the next day (at 1am), I got charged $20 more for parking my car there an extra day. I just do not recommend using them going forward! They do not have anything in order and everything was in complete disarray. I will be using United or Delta going forward because, even as one of the flight attendants said to a plane full of upset people, and I quote, ""at least they (United Airlines and Delta won't be late for your flights"". So, not only was an entire day wasted for me with frustration and disappointment, I also am out more money than I anticipated because of how much later my flight was. Run! Do not use Southwest Airlines!"
625," |  This airline cost me a lot of money by causing me to miss my international flight. Their system was down for many hours so we missed our flight to Iceland and had to stay overnight in Seattle. Not only they did not address our issues, but many of their personnel were also rude. What kind of airline is not able to fix their computer system on time in Silicon Valley? The answer is Southwest. They caused many passengers who were traveling from Southern Ca sit in the airplane for 7 hours or more to get to the destination in Seattle. You get what you pay for. Cheap airline and incompetent personnel. If I could give negative stars, they would get -5. We could not even use the internet on the flight and had no hot beverage (could only offer soda or room temperature water)."
632,"  I raced to my connecting flight at Atlanta airport. My seat was sold to another, because I arrived on time. I was told it was my fault that my seat was sold to another leaving me embarrassed, spending more money to re-schedule my hotel and car rental, and then criticized in front of strangers for being late/on time to my flight. My name nor flight was never released on the overhead speakers. My experience that I will share with my family, friends, and most importantly the colleagues from my office advising me not to fly Southwest - money is the only thing Southwest acknowledges or cares about. Southwest's name makes me sick to my core. Only more money from customers who missed their flights, or will pay additional funds to take someones seat is more important than a paying customer. A supervisor came out to speak to my husband and I about the Southwest attendant speaking rude to us to another couple. The supervisor blamed me for being on time to my flight giving Southwest permission to give my seat away making it okay for the attendant to speak about me to this other couple. The reasoning for allowing the rudeness is because I was on time to my flight therefore making any rude comments from a staff member acceptable. I am in my mid-30's and will ensure I never fly Southwest or speak kindly of the company. The company only cares about money and not the future. Keep my well earned money, because it's too little to amount to the future wealth you could have had. My word of mouth will forever be negative towards this airline and staff for being rude and inconsiderate to a person paying for their service. I regret not cancelling my flight with Southwest after several colleagues suggested I change airlines. It was my waste of money to give Southwest a chance."
635," | Will never fly with this airline again. Didn’t know they had “open seating,” which means that people walk on and sit wherever they please. Which is great for the people with money who can afford to upgrade to the first seating class. Not great for single parents or other families who can’t, because of you are in group C to board, you are almost guaranteed to be separated from your kids/rest of your family. As a single parent, I was furious that my kids and I were scattered throughout the plane and forced to sit next to strangers instead of as a family. The reason I was given was “they haven’t assigned seating in 50 years.” So, that makes it right? No. It doesn’t. We didn’t even get cabin service on the flights and everyone is crammed together like sardines. Lowered the tray tables so I could use it for other things and it was filthy - had crumbs and all, clearly wasn’t cleaned. Absolutely awful experience. Will fly any other airline but theirs."
647," | I have only flown twice in my whole life. My first experience was with Delta Air Lines and it was amazing. My second experience flying with Southwest Airlines was absolutely horrible. Seating is at a first come first serve basis. Therefore if you check in super early you are guaranteed better seating? Well I checked into my returning flight about 16-18 hours before my flight and was still put in the C category, meaning that your one of the last groups of people to board. Not wanting to be the last group to board me and my fiancé paid $40 per person, a total of $80 to get a boarding pass in the A group. A7 and A8. Pittsburgh was to board at gate C9. While sitting there waiting to board our plane an announcement was made that all of the sudden Pittsburgh was to board at gate C11. So everyone on that flight ran over to gate C11. When we got there to board about 140 passengers were already on the flight and the guy boarding the plane said ""oh you probably won’t get to sit together since there’s so many passengers on already"". We said ""ok well we paid $80 for us to be in group A so we could sit together."" In return he said ""I made the announcement a few times in 2 hours."" Ok well if that were in fact true then everyone else would have heard him as well. I’m completely dissatisfied and disappointed with this airline. I will never use them to fly again. Your better off going somewhere elsewhere where they have assigned seating and can help you out, not ruin your whole trip. We should get reimbursed for the extra money spent since we paid and did not get what we had paid for. After landing in Pittsburgh at our destination we approached the attendant asking what we could do to get our money back for our upgraded seats and her response was, “The tickets are non refundable sorry.” So we then asked if there’s someone we can call about the issue and she said, “You can call but you still won’t get your money back.” Seriously after paying over a thousand dollars for the flights already then another $80 on top of that for upgraded seats is just ridiculous. It’s highly disappointing and I wouldn’t recommend this airline to anyone."
665," |  I am a flyer on Southwest. Perhaps not as much as most people, but a number of flights per year. I have a Southwest Rapid Rewards number. I was flying to Portland from Ontario, CA, with a stop in Sacramento. I was going to see my Mother in Salem, her health had deteriorated rapidly after falling and breaking her hip. She was sent home under hospice care with as little as a week to live. I was determined to see her. We landed in Sacramento which showed a 4 hour layover. I didn't want to delay and needed to get to Salem. I checked Alaska and they had a flight that would arrive 2 hours earlier. I booked the flight and flew Portland. After arriving in Portland drove to Salem to see my Mother. That afternoon I received an email from Southwest informing me that the rest of my itinerary had been canceled and all payments forfeited. I called and the support person said because I didn't cancel the flight, and didn't inform them, that my return trip was canceled and money forfeited. I guess I forgot to read the fine print. Because of this policy, even though I felt it more important to get to my Mother's side, I now didn't have a return flight. I used to fly Southwest. But with that uncaring, insensitive response to stand by their rules. I am no longer a Southwest flyer. I will tell everyone I can my story, and encourage them NOT to fly Southwest. "
680," |  This airline fails to meet domestic standards when it comes to safely handling passengers' suitcases during transportation. They will offer an unlimited number of suitcases for you to check in, charge you exorbitant amounts of money for it, but then damage your suitcases and belongings and loose part of it. They would apologize at your arrival and offer you very bad quality ""emergency bags"" to contain the rest of your belongings so you can take it home, and some 2 cents voucher and keep your damaged property promising you that the airline will cover its cost if you go on some specific online platform that is difficult tp access with codes and other information and send them your ticket information, pictures and tags - but once you follow all of their nonsense various requests and even provide them with photos and receipts, they will call you a liar, deny responsibility and basically just tell you: ""go ahead, sue me"". Complete unprofessionalism and abuse of power and totally unethical ways of treating passengers. They damaged and lost part of my belongings and it has been a month that they have been playing games and sending nonsense conflicting letters where they are basically insulting the passenger and demanding completely unrelated things. They are offering free 2 first suitcases for a reason!!"
686,"  Southwest Airlines took my money for a flight to Costa Rica, then Southwest stopped flying there and they won't refund my money. They told me I could reschedule but had to fly within a year. They still haven't started flying there and they told me I will just lose my 1,050.00. They blamed it on Costa Rica, but that is a lie since other US Airlines are flying there. Southwest Airlines just flat out stole over a thousand dollars from me. Whatever you do, do not book with Southwest Airlines. They are literally high-class thieves."
692,"  On January 3rd 2021, I arrived to ORF with 2 checked bags, a book bag personal item, and early bird seating. We were off to Nashville around 1500 with dense fog noted. Soon (10 minutes?) after takeoff, it seemed like we were not ascending as usual. The cabin became unusually hot and there was an awful plastic/metal smell with some vibrations that I thought was just turbulence. The captain came overhead to inform us we had struck a flock of birds and we were returning to Norfolk to service the engine. The next 20 minutes were terrifying as we glided back down to safety and I applaud the flight crew for returning us safely...however the next few events following this incident is where I have some issues with southwest. I have always enjoyed flying with southwest airlines and I am an easy customer to please. I frequently travel and understand that there are some circumstances that flight crews and airport personnel can not control. However, I found the way that Southwest dealt with the situation was despicable and disrespectful. A simple phone-call to follow-up after a terrifying incident would have sufficed. However, I want to acknowledge how great the employees were at the gate dealing with the rescheduling issue and the flight crew (unless they failed to report it...). We all exited the plane and were asked to wait in the terminal. Everyone was confused and no one was sharing information and there was only 1 person to help direct all 180 of us on what to do next...(she was awesome, thus the 5 star ground rating). The flight was canceled and I was pleased that SW attempted to reschedule me to get to my final destination to MKE (Nashville was my connection). I ended up asking to change the one they rescheduled (Orf to orlando to MKE) and flew directly to Chicago and drove up to Mke from there. So...never heard word from southwest about the incident, do I get money back? I know that direct to Chicago was cheaper. And I didn't get my early bird status. I checked the FAA bird strike database, not even reported...I hope they actually inspected/serviced that airbus. The next day I was happy because I called and asked where my checked bags were and the very helpful lady informed me that she would make sure they made it to MKE from Nashville (I'm glad those people who waited for that rescheduled flight got to go!) and SW called me when my bags were ready to be picked up.But all in all, I am super salty that our plane hit birds and had to turn around and was not once addressed by the airline. No ""We are sorry you experienced that"", no flight coupon for my early bird. I mean if I wanted to be treated that way they should at least make us sign a safety waiver?"
700," | At the point of boarding the plane, I was verbally accosted by the gate agent who rudely embarrassed me by loudly stating I had too many carry on items to board the plane and that I needed to ""go over there and check something."" I politely tried to tell the woman that I had a bag with food for the flight and a fleece jacket in it. Didn't matter. I was accused of having a fanny pack when I was wearing a waist belt in lieu of carrying a purse. I had a mini backpack with chargers that per Southwest, are not supposed to be checked in baggage and a small suitcase. I was not given an opportunity to combine anything. I do not consider a waist belt, which I was wearing and is similar to a money belt or passport belt, to be a carry on item. It takes up no more space on my body than a belt on my pants. I never remove the waist belt and it does not impede sitting in a single seat or fastening my seatbelt. I do not consider food that I was going to eat in flight, especially as I was taking an antibiotic at that time for a GI condition, to be a carry on item. There were many, many other passengers who were carrying food on the plane in addition to other carry on items. I have never heard of a coat/jacket being considered as a carry on item. When I left Phoenix it was almost 90 degrees. When I arrived in Detroit 4 hours later, the temperature was about 45. To say a jacket/coat was necessary is an understatement. The gate agent was incredibly and unnecessarily rude. I was embarrassed unnecessarily in front of other passengers waiting to board. I have GI issues and cannot eat anything that might have been served in flight. Taking my own food on a 4 hour flight did not seem unreasonable. The mini backpack I had is about the size of an ordinary shoe box. Had I been given the chance, I would have combined items (except the waist belt) but I was denied that opportunity. I submitted a complaint to Southwest post-flight and received an email that in essence, blamed me for having so many carry on items, quoted a number of Southwest policies on baggage as if I do not know how to read and more importantly, failed to provide what I consider to be a sincere apology or any language about the gate agent receiving any kind of coaching, reprimand or training to correct her inappropriate behavior. In other words, it was all my fault. I am not ok with that. I have flown Southwest many times in the past and never had this kind of experience. I hope to never fly Southwest again. Public humiliation is uncalled for, period. Not being given a chance to ""fix"" my ""mistake"" and being ordered around rudely and loudly like a bad child is uncalled for. And to make matters worse, after we boarded the plane, we then sat in line with 24 planes ahead of us and took off 30 minutes late. Wow."
707,"  I booked my flight in October of 2020 to go and visit my 74 year old mother in Las Vegas. At the time, they stated nobody would be sitting in the middle seats, and now they send me an email stating that they are going to sell the middle seats. The alternative they are giving is to get your money back, really? I guess I don't want to see my mom over the holidays. I have never done anything but boasted on how good an airline Southwest is, but this is ridiculous! They do not care about the safety of their passengers or their employees! Horrible service!"
733, Like many others I had to make changes in my plans due to Covid. Southwest only offered a voucher for future flights. No where on there website do they post refund policies involving the Early bird check in option. The problem is the voucher they offer for my early bird check in expires prior to the flight voucher. Somehow this makes sense to them. I hate this airline and will avoid using it in the future. They must need the money more then me. 
740,"  I have a Southwest travel fund for $167 that expires Sept. 17, 2020. I had planned to use it this Spring, until national restrictions due to Covid-19 prevented my travel. In May, a Southwest travel rep reassured me the travel fund expiration date was extended to Dec. 17, 2020. I was SO relieved because $167 is a good amount of money I didn't want to lose, and I couldn't travel again any earlier than October 2020. But when I tried to book my flight (in June), I got an error message that said my travel fund expiration date was Sept. 17, 2020. I immediately called Southwest customer service to explain that I was told the wrong expiration date by one of their reps and due to Covid-19 health concerns and regional restrictions, I can't use my travel credit until October 2020. FUN FACT: Did you know... Southwest is extending the expiration date for travel funds that expire between March 1 and Sept. 7, 2020, to now expire Sept. 7, 2022? That now gives travelers 2 YEARS to use their travel credit. I have to assume they've done this to protect the health of those Southwest fliers who don't feel safe flying any time soon and in the midst of Covid-19. What a nice, and very practical, gesture! Let me remind you my travel fund expiration date is Sept. 17, 2020. And because it falls 10 days later, my own health and safety is NOT prioritized by Southwest travel policy-makers. Instead, I'm forced to use my $167 travel fund by Sept 17, 2020 and risk not only my own health, but that of my friends, family and fellow fliers -- or it disappears forever. I spoke with several reps (including a customer relations manager) and none of them gave a damn that I couldn't use my travel fund, when I was initially told by one of their reps that it expired on Dec. 17, 2020. That doesn't sound like transparency to me!"
747," |  Incredibly disappointed in a company I’ve trusted for so many years. A company known for outstanding customer service. Southwest Airlines not only cancelled my late July flight with no notice, when I log into my account to book another flight is when I see I have no upcoming trips so I call customer service only to be told sorry it’s out of our control we can issue you a refund within 30 days. It certainly didn’t take them 30 days to collect my money when I trusted them to book a flight with them. Unfortunately they have permanently lost a customer, not acceptable Southwest Airlines."
761," Chicago to Orlando. Southwest Airlines we were supposed to go to Florida March 17-March 24, obviously with a two-year-old with asthma who sees a pulmonologist for it every 3 months, a 6-month-old-baby and someone who is 69 and people with underlying conditions, we, unfortunately, had to make the choice to stay home during all of this. They will not refund our flights because we booked as a “group” we still paid $260 a flight and the best they will offer is new flights to go by May 30 - in the middle of a pandemic. They care more about money than the safety of humans. Seriously disgraceful - at least 5 of us have called them and got the same response that “you can email them but they don’t know if they will refund you” (my sister just got the email response that they will not). Our kids are already having a hard time with us having to cancel, disgraceful. I will never book Southwest again and before you do remember this, please."
766,"  Chicago Midway to Denver. Adding my disappointment in what has been known as the airlines that have the best customer service and ""caring"" for their customers. I would expect them to take the lead on understanding and how they can help customers in these scary and challenging times. I also had an event canceled due to Coronavirus and it will not be rescheduled. So I will not be refunded. Or I can use this money for a year for something else, I guess I just pick a place to go to use the money, then also will have hotel and food fees, etc? we are not a family that can afford to just go somewhere to use this. Maybe something will come up that we have to go to in a year, who knows. But this has changed totally how I feel about Southwest Airlines and I will not choose them in the future.  American airlines refunded my friend for a cancellation due to Coronavirus. Wrong move Southwest, wrong move."
770,"  Fort Lauderdale to San Antonio. As we all know things have become a lot more difficult these past few weeks. We are living in a global crisis. But. Southwest Airlines could care less so long as they get paid. Trying to cancel a flight that was booked before everything shut down. Before the threat of disease. And I’m told I can’t get my money back? This isn’t a regular circumstance. We are dealing with a global pandemic. But again. Nobody matters more than the almighty dollar. Nothing matters more than keeping those pockets lined does it? And people wonder why nobody has any faith in American consumerism. This is why. Because the only thing that matters is money. I will never do business with your institution again. . At the end of the day, you guys can keep your measly $500. Add that to the money you’ll get when you receive your bailout money from the government. You know, the money you “need” because we’re facing a global crisis. Imagine that. Quick to receive something because of extenuating circumstances but just as quick to hold fast to their “policy” when they have to do their part. Ah yes. Corporate America has never been brighter. Two words. Never. Again."
776,"  Milwaukee to Seattle. We had to cancel and rebook our up coming flight due to the corona virus. We were able to rebook the flight for a future date but they refuse to transfer the early bird check in to the new flight. We paid for a service they never provided and now they will not honor the $200.00 we paid for this service. To be clear we didn't even want a refund just transfer the service to the new flight. This is sad as Southwest used to be my favorite airline. I would strongly recommend not spending the money on early bird check in, it is a scam."
778,"  Tulsa to Las Vegas. Due the current Coronavirus pandemic and state of emergency, Southwest is not refunding money or extending their cancellation policy. My Upcoming business conference has been canceled due to the Coronavirus pandemic and due to circumstances beyond my control, and I need to cancel my flight."
783," |  Please be cautious when you are purchasing Wanna Get Away airline tickets right now. I had purchased two tickets for some friends to come visit me in Philadelphia on my Southwest Credit Card. We were planning on going to New York; however, due to the coronavirus, they are afraid to come now and rightfully so. I purchased the tickets under my name and I was told by Southwest Airlines that I am not able to transfer those tickets to my name with no exception, so I am losing $976.92 because this was their only opportunity to come visit me and they cannot come at a later date. These tickets are non refundable and non transferrable so be aware. With everything that is going on right now, it is probably best not to purchase these tickets right now. You will lose your money if you have to cancel."
819,"  I will never fly with Southwest Airlines again. Our trip was flat out cancelled in March when all of the 737 debacle happened. Not their fault. They kindly gave us an $800 flight credit to use in the next year. We saved it so that we could go and see family over the holidays. I booked it 6 weeks ago, so I could get the times I wanted. Got 2 text messages this morning delaying the flight to Dallas so that we missed our connection to Amarillo. Had to re-book and now we lost a day of time with my family. We had to get a hotel room in Amarillo because we are getting in so late and had to delay our car rental. The customer service lady was extremely rude and really couldn't care less. Oh and to add to it - I refreshed the flight information on the Southwest website. The flight time was changed back to a good time where we could have made the connection, but by the time I called they had already sold all of the seats. I guess we should have risked it and just gone to the airport hoping that something would work out. Southwest offered nothing, not even an apology for the missed time and extra money we had to spend."
837," |  In mid September, my husband and I took a short flight from Oakland to Portland, as we were moving up to our new place in Portland. I packed my wedding flatware, which I use for special occasions in my check in luggage, thinking that if I added it to my carry on, they could consider it to be dangerous. Up to this point, the other issue I had with Southwest over luggage was a few years ago when they smashed up my Samsonite luggage from OAK to Long Beach. They did correct the situation by reimbursing me for the damage. However, when I arrived at PDX and our new place, I did not unpack all of my luggage immediately, since we had 4 bags between the two of us. A few days after we landed, I looked for my flatware and found it was missing, except for the butter knives. Someone took out the 12 dinner forks, 12 salad forks, 12 Soup spoons and 12 teaspoons, I called Southwest right away and was told that they would process the claim. When I called customer service, I begged and pleaded for them to find it and return it to me. I don't even want the money for the flatware, I just wanted the flatware because it was sentimental to me. SouthWest said someone could have taken it out of my luggage and not returned it to its place and that many times it ends up at a lost and found in Atlanta. Well, I put in a claim, sent a letter and asked them to check in Atlanta. ALL I wanted was my flatware. it wasn't extremely expensive, but it was Mikasa and it had been discontinued. They denied my claim and when I appealed the denial, they sent me a letter stating that they cannot reimburse everyone for what they ""claim"" they lost and hoped that I would not give them bad online reviews because of it."
872,"  Indianapolis to New Orleans. I have been a big supporter of Southwest in the past. I would drive the 2 hours instead of using the local airport, because of cost savings and a good flight. I flew in March with no issues, but this September was a different story. My flight to MSY was okay, but the return trip was another story. My flight was cancelled. I did get another flight to a city that was two hours from my destination. I had to drive to the other airport to pick up my car. Southwest lost my luggage and i had to wait several days for it to be delivered to my home. I incurred extra cost to get back to the other airport at such a late hour, and lost money by not getting back home at designated time. I called Southwest to ask about reimbursement for at least my hotel and rental car that was extra, but was told we do not cover those expenses. I have another flight next month, and I decided to just fly from the smaller local airport. My expenses are a bit more, but my time has value as well, and with what happened last time, the flight was not cheaper in the end. Southwest did not provide value and I see no longer to fly with them."
909,  Indianapolis to Denver. I spent a lot of money on 6 tickets to fly to Denver for my brothers wedding. When we checked our bags in the lady at the counter told us we could board as family due to having 2 of my 4 kids under the age of 6. When it came time time board with family boarding the lady at the gate was trying to make my older boys ages 11 and 13 wait and board at the end with c class! She said only the parents and the children under the age of 6 could board as family. I spent more money on those tickets than probably anyone on that flight! I told the lady at the gate that I was told we could all board as family and she said no! For fear of being kicked off the flight I myself waited with my older boys and boarded last and we were all split up all over the plane and I couldn't get a seat close to my husband to help with the younger kids! 
